bookName,bookPublisher,publishDate,bookPrice,commentScore,commentNum,intro
哈利•波特,人民文学出版社,2008-12-1,498.00元,9.7,8457,从9¾站台开始的旅程
格林童话全集,人民文学出版社,1994-11,21.45元,9.0,63818,一本有教育意义的书
人类简史,中信出版社,2014-11,CNY 68.00,9.1,119656,跟着人类一同走过十万年
围城,人民文学出版社,1991-2,19.00,8.9,353470,幽默的语言和对生活深刻的观察
历史深处的忧虑,生活·读书·新知三联书店,1997-5,19.00元,9.0,35007,窥见美国社会的一扇窗
沉默的大多数,中国青年出版社,1997-10,27.00元,9.1,91897,沉默是沉默者的通行证
平凡的世界（全三部）,人民文学出版社,2005-1,64.00元,9.0,234750,中国当代城乡生活全景
我与地坛,春风文艺出版社,2002-5,25.00元,9.0,52421,这是你的罪孽与福祉
霍乱时期的爱情,南海出版公司,2012-9-1,39.50元,9.0,167780,义无反顾地直达爱情的核心
无人生还,人民文学出版社,2008-3,19.00,8.9,91025,童谣杀人案
明朝那些事儿（1-9）,中国海关出版社,2009-4,358.20元,9.1,71701,不拘一格的历史书写
失踪的孩子,人民文学出版社,2018-6-1,62,9.1,29033,我的整个生命，只是一场为了提升社会地位的低俗斗争。
局外人,上海译文出版社,2010-8,22.00元,9.0,113879,人生在世，永远也不该演戏作假
笑傲江湖（全四册）,生活·读书·新知三联书店,1994-5,76.80元,9.0,83385,欲练此功，必先自宫
杀死一只知更鸟,译林出版社,2012-9,32.00元,9.2,65491,有一种东西不能遵循从众原则，那就是——人的良心
绿毛水怪,时代文艺出版社,2009-1,30.00元,9.0,13475,我们好象在池塘的水底，从一个月亮走向另一个月亮
亮剑,解放军文艺出版社,2005-3,28.00元,8.9,17851,面对强大的对手，明知不敌，也要毅然亮剑
上学记,生活·读书·新知三联书店,2006-8,19.80元,8.9,11762,20世纪中国知识分子的心灵史
罗生门,上海译文出版社,2008-7,12.00元,8.7,43130,人生，远比地狱更像地狱
激荡三十年,中信出版社,2008-7-1,32.00元,8.6,9231,中国企业1978—2008
不能承受的生命之轻,上海译文出版社,2010-8,29.00元,8.8,26236,一场穿越银河的冒险
银河系漫游指南,四川科学技术出版社,2005-6,16.00元,8.8,16892,揭去生活的面纱
面纱,重庆,2012-05-01,32.00元,8.7,37528,收录自先秦至明末的散文二百二十二篇
古文观止,中华书局,1987-1-1,21.00元,9.1,12416,世钧，我们回不去了
四世同堂,北京十月文艺出版社,2008-07,36.00元,9.3,12369,北平沦陷时代广大平民的悲惨遭遇
半生缘,北京十月文艺出版社,2006-12,28.00元,8.6,66105,人类社会的命运
枪炮、病菌与钢铁,上海世纪出版集团,2006-4-1,45.00元,8.8,28824,日常的奇迹
麦琪的礼物,上海社会科学院出版社,2003-7,25.00元,8.6,54810,梵高悲惨而成就辉煌的人生
社会心理学,人民邮电出版社,2006-1,68.00元,9.0,15987,人们是如何思索、影响他人并与他人建立联系的
倚天屠龙记(共四册),三联书店,1999-04,47.00,8.6,46672,不识张郎是张郎
渴望生活,北京十月文艺出版社,2008-4,29.80元,9.2,8648,三毛在加纳利群岛的生活
温柔的夜,北京十月文艺出版社,2007-5,28.00元,9.1,13528,描写疆北阿勒泰地区生活和风情的原生态散文集
我的阿勒泰,云南人民出版社,2010-7-1,22.00元,8.8,16667,探索中年的虚无、困惑、野心和近乎残暴的爱
霸王别姬,人民文学出版社,1999-1,10.20元,9.1,10837,人间，只是抹去了脂粉的脸
牧羊少年奇幻之旅,南海出版公司,2009-3-1,25.00元,8.6,113855,你自己就是最大的宝藏
我不知道该说什么，关于死亡还是爱情,花城出版社/铁葫芦图书,2014-6-15,34.80元,9.0,12834,真实记录切尔诺贝利核灾难事件
小径分岔的花园,上海译文出版社,2015-7,23.00,8.9,13800,一个谜语，谜底正是时间
巨流河,生活·读书·新知三联书店,2010-10,39.00元,8.7,24295,两代人从巨流河到哑口海的故事
此生未完成,湖南科技出版社,2011-5,26.00元,8.9,14934,一个母亲、妻子、女儿的生命日记
离开的，留下的,人民文学出版社,2017-10,62.00,8.7,27957,公民养成手册
民主的细节,上海三联书店,2009-6,25.00,8.6,67670,白雪和阳光，青草和白桦林
正见,中国友谊出版公司,2007-1,25.00元,8.8,14339,佛陀的证悟
阿勒泰的角落,万卷出版公司,2010-6,25.00元,9.1,10523,阿加莎·克里斯蒂代表作
顾城的诗,人民文学出版社,1998-12,20.00,8.8,17073,火焰是我们诗歌唯一的读者
一千零一夜,人民文学出版社,2003-01,22.0,8.7,41035,阿拉伯地区的古代民间传说
一句顶一万句,长江文艺出版社,2009-3,29.80,8.7,34687,一句胜过千年
青铜时代,花城出版社,1997-5,29.00元,8.7,18740,唐人传奇贯注现代情趣
尼罗河上的惨案,人民文学出版社,2006-5,22.00元,8.7,33882,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事
金阁寺,上海译文出版社,2009-1,24.00,8.7,18451,他的犯罪动机是对美的嫉妒
万物有灵且美,中国城市出版社,2010-1,28.80,8.8,17611,美国政治法律制度的基本原理和操作细节
故事,天津人民出版社,2014-9-1,68.00元,9.2,8951,材质、结构、风格和银幕剧作的原理
一个人的村庄,春风文艺出版社,2006-1-1,28.00元,8.9,10762,他是真正的作家，也是真正的农民
棋王,作家出版社,1999-10,13.00,8.8,19511,我从未真正见过火，也未见过毁灭，更不知新生
总统是靠不住的,生活·读书·新知三联书店,2004-08,21.80,8.8,16815,少年辛克莱寻找通向自身之路的艰辛历程
美国宪政历程,中国法制出版社,2014-1,35.00元,9.1,6407,25个案例异彩纷呈，美国宪政的酸甜苦辣尽在其中
西方哲学史（上卷）,商务印书馆,1963年9月1版,25.00,8.9,10976,西方哲学史及其与从古代到现代的政治、社会情况的联系
雨季不再来,北京十月文艺出版社,2007-7,28.00元,8.7,37223,三毛少女时代的成长感受
受戒,漓江出版社,1987-10,3.95元,9.2,10552,江南乡镇民间生活，健康淳朴的人性
雷雨,人民文学出版社,1999-05,9.20,8.6,55854,一幕人生大悲剧，在一个雷雨夜爆发
德米安,上海人民出版社,2009-3,25.00元,9.0,13391,耿耿余淮
水浒传（全二册）,人民文学出版社,1997-1,50.60元,8.6,54041,替天行道
理想国,商务印书馆,1986-8,28.00元,8.7,20771,人类历史上最早的乌托邦
最好的我们,湖南文艺出版社,2013-8-5,55,8.7,51789,从史前史到21世纪
批评官员的尺度,北京大学出版社,2011-7,32.00元,8.9,8078,新闻自由史上的里程碑案件：《纽约时报》诉沙利文案
从一到无穷大,科学出版社,2002-11,29.00元,9.1,8838,科学中的事实和臆测
全球通史,北京大学出版社,2012-2-1,168.00元,9.1,8146,澳洲乱世情
故事新编,人民文学出版社,1973-12-01,0.31 元,9.2,6286,拾取古代传说，取一点因由，随意点染
黑客与画家,人民邮电出版社,2011-4,49.00元,8.7,17836,硅谷创业之父Paul Graham文集
火星救援,译林出版社,2015-10,38.00,8.9,11722,跟火星来一场不是你死就是我活的过家家游戏
荆棘鸟,译林出版社,1998-7,28.00元,8.6,43435,鸦片战争再研究
认识电影,世界图书出版公司,2007-11,68.00元,8.9,12866,电影入门经典之作
天朝的崩溃,生活·读书·新知三联书店,2005-7,32.00元,9.1,9750,当声称能改造智能的科学实验选中心智障碍主角
哈姆莱特,人民文学出版社,2001-1,7.00元,8.6,33276,生存还是毁灭，这是一个值得思考的问题
草房子,江苏少年儿童出版社,2009-6,18.00元,9.0,15472,男孩桑桑刻骨铭心、终身难忘的六年小学生活
骆驼祥子,人民文学出版社,2000-3-1,12.00,8.4,140690,旧中国老北京贫苦市民的典型命运
尘埃落定,人民文学出版社,1998-3-1,22.0,8.5,49438,一个傻子的土司家族传奇
2001太空漫游,上海人民出版社,2007-11,28.00元,9.1,6091,科幻三巨头之一阿瑟·克拉克代表作
众病之王,中信出版社,2013-2-4,42.00元,9.1,7562,癌症传
象棋的故事,上海译文出版社,2007-7,23.00元,9.1,7874,纳粹法西斯对人心灵的折磨及摧残
失明症漫记,南海出版公司,2014-2,29.50,9.1,9799,失明症迅速蔓延，整个城市陷入一场空前的灾难
海底两万里,译林出版社,2002-9,19.50元,8.5,74121,你听说过鹦鹉螺号吗？
香水,上海译文出版社,2005-5,20.00元,8.5,35311,每一次谋杀只因迷恋她们身上的味道
庄子,中华书局,2007-04,20.00元,9.4,6695,野马也，尘埃也，生物之以息相吹也
